label	id	title	authors	year	nonapproved	journal	corrauthorlocation	ctgnctid	statedgoal_safety	statedgoal_dosage	statedgoal_efficacy	statedgoal_pd	statedgoal_pk	statedgoal_other	sponsor_govt	sponsor_biotech	sponsor_pharma	sponsor_nonprofit	sponsor_ns	industry	preclinical citation in same indication	phase	phasestated	multicentre	shape	size	border	row	subindication	stage	conflictofinterest_disclosed	conflictofinterest	effectsize	randomisation	primary_outcome_blinding	allocation_blinding	description_of_withdrawals	study_design_dose_esc	study_design_dose_find	study_design_dose_rang	study_design_hist_cont	study_design_parallel	study_design_futility	study_design_simon2	study_design_placebo	study_design_crossover	study_design_invasv	study_design_is_other	study_design_other	no_comp_cites	duration_of_treatment (weeks)	duration_of_tx_imputed	concomitant_meds	paediatric_subjects	burdens_invasive_res_procedures	burdens_wash_out	burdens_other	burdens_washout_text	burdens_other_text	burdens_none	results_primary_endpoint	colour	results_toxicity	results_assessment_risk_benefit	stats_measure	clinicalinterest	Alpha	Beta	Min	Thres	date_of_pt_enrolment	date_of_closure	pub_date	query	bounce	sent may 1	response	address	total n	n receiving su evaluable for response	ORR n	G3-4	G3-5	Deaths	number of citations	novel citations	cited < 2 years	cited < 3 years
8	1684	Phase I/II study of sunitinib malate in Japanese patients with gastrointestinal stromal tumor after failure of prior treatment with imatinib mesylate	"K. Shirao, T. Nishida, T. Doi, Y. Komatsu, K. Muro, Y. Li, E. Ueda and A. Ohtsu"	2010	0	Investigational New Drugs	Japan	NCT00457743	0	0	0	0	0	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 1/2	Explicit	Multi	circle	1.5 cm	thick	GIST	Imatinib-resistant	Second line	Disclosed	Conflict	n/a	No	No	No	Yes	1	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	22	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes					05.01.01	08.08.01	09.09.03						36	36	4			0	6	0	0	0
67	1949	Phase II study of sunitinib administered in a continuous once-daily dosing regimen in patients with cytokine-refractory metastatic renal cell carcinoma	"B. Escudier, J. Roigas, S. Gillessen, U. Harmenberg, S. Srinivas, S. F. Mulder, G. Fountzilas, C. Peschel, P. Flodgren, E. C. Maneval, I. Chen and N. J. Vogelzang"	2009	0	Journal of Clinical Oncology	France	NCT00137423	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	Cytokine-Refractory	Refractory	Disclosed	Conflict	n/a	Yes	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	1	RCT	None	36	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05	0.1	5%	15%	05.07.01	06.02.01	09.08.03						107	107	21			0	9	2	2	5
11	2606	Sunitinib treatment in pediatric patients with advanced GIST following failure of imatinib	"K. A. Janeway, K. H. Albritton, A. D. Van Den Abbeele, G. Z. D'Amato, P. Pedrazzoli, S. Siena, J. Picus, J. E. Butrynski, M. Schlemmer, M. C. Heinrich and G. D. Demetri"	2009	0	Pediatric Blood & Cancer	United States	n/a	1	NULL	1	NULL	NULL	0	1	NULL	1	1	NULL	1	0	Phase 1	Not stated	Multi				GIST	Paediatric	Second line	Not disclosed	Unclear	n/a	No	No	No	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	Treatment-use	None	95	No	No	All	NULL	NULL	NULL	NULL	NULL	0	Positive		Acceptable	Favourable	None	Yes					05.09.15	06.01.15	09.03.26	1		1		gdemetri@partners.org 	7	7	1			0	8	3	1	3
62	214	"Effect of food on the pharmacokinetics of sunitinib malate (SU11248), a multi-targeted receptor tyrosine kinase inhibitor: results from a phase I study in healthy subjects"	"C. L. Bello, L. Sherman, J. Zhou, L. Verkh, J. Smeraglia, J. Mount and K. J. Klamerus"	2006	1	Anti-Cancer Drugs	United States	n/a	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	NULL	NULL	0	1	Phase 1	Explicit	Single				P1	n/a	First line	Disclosed	Conflict	80%-125% for 90% CI ratios	Yes	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	None	4	NULL	No	None	NULL	1	NULL	4 weeks	Fasting; dietary restrictions	0	Positive		Acceptable	Favourable	95 CI	Yes					05.10.15	06.01.01	06.03.01	1		1		carlo.bello@pfizer.com 	16	16	0	0	0	0	5	2	1	5
30	391	Phase II study of continuous daily sunitinib dosing in patients with previously treated advanced non-small cell lung cancer	"S. Novello, G. V. Scagliotti, R. Rosell, M. A. Socinski, J. Brahmer, J. Atkins, C. Pallares, R. Burgess, L. Tye, P. Selaru, E. Wang, R. Chao and R. Govindan"	2009	1	British Journal of Cancer	Italy	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	1	Phase 2	Explicit	Multi	circle	1.5 cm	thick	NSCLC	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	18	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Favourable	95 CI	Yes	0.1	0.2	5%	15%	05.11.01	06.05.01	09.10.13						47	47	1	8	9	1	11	4	5	7
41	2533	Sunitinib treatment for patients with advanced clear-cell renal-cell carcinoma after progression on sorafenib	"K. Zimmermann, A. Schmittel, U. Steiner, A. M. Asemissen, M. Knoedler, E. Thiel, K. Miller and U. Keilholz"	2009	0	Oncology	Germany	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	Phase 2	Not stated	Single	circle	1.5 cm	thick	RCC	Advanced Clear-Cell Renal-Cell Carcinoma after Progression on Sorafenib	Refractory	Not disclosed	Unclear	n/a	No	No	No	Yes	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	21.5	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes					05.11.01	06.07.01	09.03.24						80	22	4			0	4	1	2	4
58	1694	"A phase II study of sunitinib in Japanese patients with metastatic renal cell carcinoma: insights into the treatment, efficacy and safety"	"H. Uemura, N. Shinohara, T. Yuasa, Y. Tomita, H. Fujimoto, M. Niwakawa, S. Mugiya, T. Miki, N. Nonomura, M. Takahashi, Y. Hasegawa, N. Agata, B. Houk, S. Naito and H. Akaza"	2010	0	Japanese Journal of Clinical Oncology	Japan	NCT00254540	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	single-arm	None	24	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.025	0.2			05.12.15	07.02.01	09.11.07	1	bounce	0		akazah@md.tsukuba.ac.jp 	51	51	24			0	4	2	1	2
24	1685	Phase II study of sunitinib as second-line treatment for advanced gastric cancer	"Y.-J. Bang, Y.-K. Kang, W. K. Kang, N. Boku, H. C. Chung, J.-S. Chen, T. Doi, Y. Sun, L. Shen, S. Qin, W.-T. Ng, J. M. Tursi, M. J. Lechuga, D. R. Lu, A. Ruiz-Garcia and A. Sobrero"	2011	1	Investigational New Drugs	Korea South	NCT00226811	1	NULL	1	1	1	1	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Gastric	Refractory to chemotherapy for advanced disease or not amenable to therapy with curative intent	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	6.9	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Favourable	95 CI	Retest	0.05	0.15	5%	15%	06.01.15	08.05.15	10.05.12	1		1		bangyj@snu.ac.kr 	78	78	2	27	31	4	5	0	0	0
21	2216	"Safety and efficacy of sunitinib in patients with advanced hepatocellular carcinoma: an open-label, multicentre, phase II study"	"S. Faivre, E. Raymond, E. Boucher, J. Douillard, H. Y. Lim, J. S. Kim, M. Zappa, S. Lanzalone, X. Lin, S. Deprimo, C. Harmon, A. Ruiz-Garcia, M. J. Lechuga and A. L. Cheng"	2009	1	Lancet Oncology	France	NCT00247676	1	NULL	1	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	HCC	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	12	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	95 CI	No	0.05	0.15	5%	15%	06.02.01	06.07.01	09.07.07						37	37	1	5	9	4	6	0	1	4
59	2185	Response of the primary tumor to neoadjuvant sunitinib in patients with advanced renal cell carcinoma	"A. A. Thomas, B. I. Rini, B. R. Lane, J. Garcia, R. Dreicer, E. A. Klein, A. C. Novick and S. C. Campbell"	2009	0	Journal of Urology	United States	n/a	1	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	Phase 1	Not stated	Single				RCC	mostly unresectable or large burden of extrarenal disease 	Refractory	Not disclosed	Unclear	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	"One arm, set dose design"	None	12	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive		Acceptable	Favourable	None	Retest					06.02.01	07.01.01	08.12.18						19	19	2			0	4	4	2	2
12	370	Multicenter phase II randomized trial evaluating antiangiogenic therapy with sunitinib as consolidation after objective response to taxane chemotherapy in women with HER2-negative metastatic breast cancer	"H. Wildiers, C. Fontaine, P. Vuylsteke, M. Martens, J. L. Canon, W. Wynendaele, C. Focan, J. De Greve, P. Squifflet and R. Paridaens"	2010	1	Breast Cancer Research & Treatment	Belgium	n/a	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	BC	HER2-negative	Refractory	Disclosed	No conflict	n/a	Yes	No	No	Yes	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	21.7	No	No	None	NULL	NULL	NULL	NULL	NULL	1	Negative	red	Unacceptable	Unfavourable	None	No					06.02.01	09.03.01	10.07.22						55	55	0	36	36	0	1	0	1	1
29	147	Phase II study of sunitinib in men with advanced prostate cancer	"M. Dror Michaelson, M. M. Regan, W. K. Oh, D. S. Kaufman, K. Olivier, S. Z. Michaelson, B. Spicer, C. Gurski, P. W. Kantoff and M. R. Smith"	2009	1	Annals of Oncology	United States	n/a	0	NULL	0	NULL	NULL	NULL	1	NULL	NULL	1	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	PC	castration-resistant	Refractory	Not disclosed	Unclear	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	12	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	None	Retest	0.05	0.1	5%	25%	06.03.01	06.12.01	09.05.01						36	36	0	6	6	0	0	0	0	0
45	1862	"Efficacy, safety, and potential biomarkers of sunitinib monotherapy in advanced hepatocellular carcinoma: A phase II study"	"A. X. Zhu, D. V. Sahani, D. G. Duda, E. Di Tomaso, M. Ancukiewicz, O. A. Catalano, V. Sindhwani, L. S. Blaszkowsky, S. S. Yoon, J. Lahdenranta, P. Bhargava, J. Meyerhardt, J. W. Clark, E. L. Kwak, A. F. Hezel, R. Miksad, T. A. Abrams, P. C. Enzinger, C. S. Fuchs, D. P. Ryan and R. K. Jain"	2009	1	Journal of Clinical Oncology	United States	N/A	1	NULL	1	NULL	NULL	NULL	1	NULL	1	NULL	NULL	1	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	HCC	Advanced disease	Refractory	Disclosed	Conflict	69%	No	Yes	No	No	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	None	16.9	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Favourable	95 CI	Retest		0.1			06.04.01	07.11.01	09.05.26						34	34	1	6	6	0	3	0	2	3
72	1703	Response rates and adverse effects of continuous once-daily sunitinib in patients with advanced renal cell carcinoma: a single-center study in Turkey	"I. Yildiz, F. Sen, M. Basaran, M. Ekenel, F. Agaoglu, E. Darendeliler, H. M. Tunc, F. Ozcan and S. Bavbek"	2011	0	Japanese Journal of Clinical Oncology	Turkey	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	Phase 2	Not stated	Single	circle	1.5 cm	thick	RCC	n/a	Refractory	Disclosed	No conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	consectutive cohort	None	40	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05				06.04.01	10.08.01	11.10.19						74	74	20			0	7	0	2	2
2	481	A phase II study of sunitinib in patients with recurrent and/or metastatic non-nasopharyngeal head and neck cancer	"G. Fountzilas, A. Fragkoulidi, A. Kalogera-Fountzila, M. Nikolaidou, M. Bobos, J. Calderaro, F. Andreiuolo and M. Marselos"	2010	1	Cancer Chemotherapy & Pharmacology	Greece	n/a	1	NULL	1	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	HNC	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	12	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Unfavourable	95 CI	No	0.05	0.8	20%	35%	06.05.15	10.01.01	09.08.05	1		1		fountzil@auth.gr 	17	17	0	7	7	0	2	1	0	1
68	151	Pilot trial of sunitinib therapy in patients with von Hippel-Lindau disease	"E. Jonasch, I. E. McCutcheon, S. G. Waguespack, S. Wen, D. W. Davis, L. A. Smith, N. M. Tannir, D. S. Gombos, G. N. Fuller and S. F. Matin"	2011	1	Annals of Oncology	United States	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	VHL	nonmetastatic	First line	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	1	Single arm	None	19.2	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Inconclusive	None	Unclear	0.1	0.17	5%	30%	06.06.01	09.06.01	11.12.01						15	15	6	5	5	0	2	1	1	1
46	1909	"Multicenter, phase II trial of sunitinib in previously treated, advanced non-small-cell lung cancer"	"M. A. Socinski, S. Novello, J. R. Brahmer, R. Rosell, J. M. Sanchez, C. P. Belani, R. Govindan, J. N. Atkins, H. H. Gillenwater, C. Pallares, L. Tye, P. Selaru, R. C. Chao and G. V. Scagliotti"	2008	1	Journal of Clinical Oncology	United States	n/a	1	NULL	1	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	NSCLC	Stage IIIB or IV NSCLC after failure of at least one platinum-based chemotherapy regimen	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	11	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.1	0.1	5%	10%	06.06.15	08.01.01	08.02.01	1	bounce	0		socinski@med.unc.edu	64	63	7	18	22	4	8	4	5	5
60	145	Phase II study of sunitinib as first-line treatment of urothelial cancer patients ineligible to receive cisplatin-based chemotherapy: baseline interleukin-8 and tumor contrast enhancement as potential predictive factors of activity	"J. Bellmunt, J. L. Gonzalez-Larriba, C. Prior, P. Maroto, J. Carles, D. Castellano, B. Mellado, E. Gallardo, J. L. Perez-Gracia, G. Aguilar, X. Villanueva, J. Albanell and A. Calvo"	2011	1	Annals of Oncology	Spain	NCT01118039	NULL	NULL	1	1	NULL	NULL	0	NULL	0	NULL	NULL	0	1	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Urothelial	Urothelial cancer patients ineligible to receive cisplatin- based chemotherapy	First line	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	20.8	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	95 CI	Retest	0.05	0.1	10%	10%	06.07.01	09.09.01	11.03.21						38	38	3	4	6	2	11	8	3	3
